"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CKF44_00001",0,"NA","NA","NA","NA","NA"
"CKF44_00002",126.659989011244,0.353532691168269,0.354434240750271,0.99745636995993,0.318543041432235,0.692838639335329
"CKF44_00003",117.258404449929,0.433781345835492,0.168555667704902,2.57351978572997,0.010066989067758,0.122277848268366
"CKF44_00004",285.169905997898,0.119007224630642,0.17932543652564,0.663638282088479,0.506921849403142,0.823213229397013
"CKF44_00005",95.7192350171423,2.22236417473899,0.649740677414849,3.42038639720266,0.00062532247107,0.018354274394485
"CKF44_00006",1283.22883279326,-0.286124832782703,0.193738450762162,-1.47686136467539,0.139712803243095,0.486816191179535
"CKF44_00007",552.711283902323,-0.254428604945347,0.148325815157851,-1.71533596275591,0.086283648701168,0.394073292349454
"CKF44_00008",459.684978958695,-0.064757668146013,0.199707173825286,-0.324263104352308,0.745738850286094,0.939037126127878
"CKF44_00009",161.569820727661,-0.064010221237646,0.232831889849257,-0.274920335350488,0.783377443561682,0.951233610902673
"CKF44_00010",352.014049129717,0.167250372528117,0.215493279774654,0.776128019876137,0.4376734009677,0.782210813058743
"CKF44_00011",945.675634095917,0.341863155366872,0.274598964790522,1.24495427587523,0.213148558162949,0.5806122175826
"CKF44_00012",410.606405982899,0.593156568897883,0.27584815391541,2.15030102786107,0.031531411157493,0.232855101373085
"CKF44_00013",328.466643424009,0.125602009256053,0.23676622442503,0.530489555936741,0.595772548351973,0.877693841436435
"CKF44_00014",97.2231225052655,0.191004916726082,0.196647215899685,0.971307505434088,0.331395172408085,0.702010507422265
"CKF44_00015",89.1182176272901,-0.131657448919563,0.353918752676723,-0.371999075843889,0.709893537424947,0.926593656254496
"CKF44_00016",582.505063956433,0.526999640978157,0.268512190898309,1.9626656026867,0.049685042458983,0.299929905345123
"CKF44_00017",94.7118620362765,-0.085002451581407,0.190991880694379,-0.44505793268472,0.656277888504333,0.905570409979289
"CKF44_00018",405.073740419352,-0.018939238217983,0.263556892188442,-0.071860151562426,0.942713202473492,0.98966459335614
"CKF44_00019",675.750620760144,-0.002709840184289,0.253412563206558,-0.010693393216186,0.991468069252994,0.998072091161755
"CKF44_00020",575.186942985614,0.172112907683565,0.204539681729311,0.841464630375928,0.40008769164196,0.75887388828145
"CKF44_00021",172.392815037808,0.018064251967233,0.22747587604142,0.079411726120549,0.936705142002465,0.988657095634782
"CKF44_00022",415.810659151217,-0.035345520638442,0.2439475821412,-0.144889817428006,0.884797866113611,0.974248103412651
"CKF44_00023",179.154838738274,-0.627330537739529,0.371407949926321,-1.68906060805639,0.091207815797517,0.405804578581732
"CKF44_00024",2691.74824826416,-0.332166970682771,0.258854796847358,-1.28321736637025,0.199415933395133,0.565433553265692
"CKF44_00025",531.251482128216,-0.158149846493923,0.301746500924441,-0.524114930941734,0.600198604210126,0.879900587416231
"CKF44_00026",476.071723313189,-0.420158391768612,0.257558522560216,-1.6313123230872,0.102824434455248,0.429075215344278
"CKF44_00027",181.142905673737,0.238050229909068,0.153120918723627,1.55465518293247,0.120028213694121,0.450642512877604
"CKF44_00028",245.650320445265,0.155279886397678,0.158649978853222,0.978757687332175,0.327699721055307,0.698418873476814
"CKF44_00029",36.9006548876069,-0.21956749514841,0.325729774636589,-0.674078675777731,0.500261295854691,0.82195023708638
"CKF44_00030",26.0814613126141,0.011638810833995,0.298234670613066,0.039025680046086,0.968869914489477,0.995424158211999
"CKF44_00031",198.912799403797,0.147305144553896,0.147437344525805,0.999103348121645,0.317744629412916,0.691911677055668
"CKF44_00032",22.5566724140652,0.28789012602364,0.364013393232045,0.790877839596744,0.429015281156711,0.776938262110467
"CKF44_00033",1.46992071086524,0.74199176609396,1.03760519663497,0.715100279470741,0.474547081279848,0.805523717528161
"CKF44_00034",2879.8349588839,-0.331457557546666,0.324939661282113,-1.02005878949598,0.307700579845558,0.68162517319801
"CKF44_00035",79.8432626661691,0.292227281533645,0.205039459807457,1.42522459729489,0.154092288285644,0.509309224246426
"CKF44_00036",716.855938154505,-0.064061845433481,0.416205191743583,-0.153918900350836,0.877673681364392,0.973522112219559
"CKF44_00038",902.673140418696,-0.361289007661927,0.324323157830979,-1.11397844692365,0.265288433116486,0.639315940981102
"CKF44_00039",220.51050680212,-0.856354721191835,0.283875439796974,-3.01665660757512,0.00255579158762,0.051240770881422
"CKF44_00040",671.413268766692,-0.97301800764418,0.447229897686757,-2.17565509970822,0.02958105995906,0.227170734297574
"CKF44_00043",374.423631401068,-0.131658151409076,0.159362737342807,-0.826153927852436,0.408716779531334,0.765182765356009
"CKF44_00044",694.075825235565,-0.051366984305377,0.189540893227014,-0.271007398091424,0.786385342265076,0.953465109503098
"CKF44_00045",185.195904703825,-0.126213057857796,0.199180346314784,-0.63366220710516,0.526301294108361,0.835592267771858
"CKF44_00046",1009.25287906403,-0.214027718240492,0.171149585391727,-1.25053015904553,0.211105945370209,0.578846709092227
"CKF44_00047",1102.01086418593,0.854403765177204,0.407889377844288,2.09469481576785,0.036198130385454,0.252512033413935
"CKF44_00048",42.4303479163118,-0.407742559927322,0.317130039207177,-1.28572670361557,0.198538458307221,0.565125794079402
"CKF44_00049",75.7709648132561,-0.647526511623149,0.286492728683567,-2.26018480328813,0.023809783625777,0.201323253384987
"CKF44_00050",101.902762911428,-0.095286431548824,0.273982815201845,-0.347782511390817,0.728003524644656,0.933093365452551
"CKF44_00051",581.001676970613,0.015632739406434,0.189027015370346,0.082701085745896,0.934089221531573,0.988008607203824
