"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CKF44_00001",0,"NA","NA","NA","NA","NA"
"CKF44_00002",133.810503197722,-0.159644912360318,0.234197770012485,-0.681667089963358,0.49544948176444,0.853878875746888
"CKF44_00003",130.769475120385,0.054828926236599,0.177696764746285,0.308553317303685,0.757661336474572,0.944354994204977
"CKF44_00004",296.446073449847,0.006748385780477,0.138766261435217,0.048631315066648,0.961213113667791,0.992627181999868
"CKF44_00005",147.505478408671,0.620149983352803,0.406149570995866,1.5269005007988,0.126785755042217,0.505973140076204
"CKF44_00006",1459.62413295265,0.079522415178038,0.175811253649305,0.452316979302492,0.651040645699528,0.912707586320043
"CKF44_00007",544.190539195387,0.134890754200813,0.114433005746233,1.17877489384441,0.238487824016936,0.664498160235903
"CKF44_00008",699.859388312388,-0.003380411948759,0.123296279854161,-0.027416982513644,0.978127153252971,0.996447509954801
"CKF44_00009",186.322181775417,0.046143047367501,0.181724458755725,0.253917649189573,0.799559179468366,0.956302017768483
"CKF44_00010",430.382639629051,0.003451171889952,0.190746065379005,0.018093017452784,0.985564648306629,0.996460277362132
"CKF44_00011",579.32276104401,-0.001518409634407,0.139906185518076,-0.010853055772941,0.991340684356667,0.997879759179004
"CKF44_00012",555.765012251477,-0.092161195645298,0.11107806819706,-0.829697501416729,0.406709834486463,0.799100526588961
"CKF44_00013",299.582322704209,0.108856156600779,0.191701650063815,0.567841521262555,0.570142583157657,0.88392553031086
"CKF44_00014",110.397301315838,-0.011941434620326,0.148336920252194,-0.080502106960452,0.935837920563454,0.986629845389195
"CKF44_00015",110.350142907691,0.22782709858895,0.258892246998175,0.880007420965976,0.378855289421913,0.783058125089498
"CKF44_00016",441.140837150549,-0.005043443021102,0.261718134395176,-0.019270514184113,0.984625305832061,0.996447509954801
"CKF44_00017",124.178730025888,0.04189568452961,0.136862251382508,0.306115704706029,0.75951655091199,0.944787800163755
"CKF44_00018",572.946160822626,-0.020308826255483,0.148507832061447,-0.136752560276279,0.891226382660206,0.98077778999569
"CKF44_00019",749.857435154439,0.130977648089094,0.129195466301,1.01379446074324,0.310680839004799,0.729095938544417
"CKF44_00020",723.914083559559,-0.153362269646973,0.169285821062292,-0.905936886412594,0.364969259101402,0.771878750911278
"CKF44_00021",220.858628429547,0.441998057559434,0.163904864839641,2.69667442752153,0.007003570732924,0.108909459487269
"CKF44_00022",390.136298402091,0.042181531240673,0.187338457306628,0.225162157557604,0.821853127458435,0.963259165291535
"CKF44_00023",397.036356325113,-0.046506970915128,0.487723380396102,-0.095355221390777,0.924032682101886,0.985779525424121
"CKF44_00024",3143.88670046015,0.006347774456976,0.136166559680506,0.046617719298114,0.962817909425745,0.99321926999442
"CKF44_00025",456.297530569246,0.056205074335273,0.305438790859113,0.18401419864577,0.854002316217627,0.973425044230854
"CKF44_00026",480.131881580668,0.249365544816292,0.137899719335551,1.80831074941865,0.070558149789815,0.381753242021518
"CKF44_00027",184.072454167906,-0.100514894132444,0.126353757059455,-0.795503801957761,0.426320500249627,0.808933979553026
"CKF44_00028",337.0555158241,0.006895231136404,0.135872648189027,0.050747749663427,0.959526526912413,0.991705368891844
"CKF44_00029",48.6362600108228,0.193735323696959,0.267809540147862,0.723407103383974,0.469429808389627,0.837014757551203
"CKF44_00030",35.0800316957532,-0.071570363873241,0.217572680628977,-0.328949221319235,0.742194069438691,0.941173348087914
"CKF44_00031",236.379043296209,0.077157000231537,0.104686268582246,0.737030761306758,0.461103642877336,0.832621889054809
"CKF44_00032",35.0707529774903,0.344076742447247,0.196224328474883,1.75348666050494,0.07951850727193,0.40881728850056
"CKF44_00033",4.25675650368637,-0.133107604110949,0.50463591541863,-0.263769581284217,0.791957475312082,0.954046033199062
"CKF44_00034",3477.22012518815,0.426606978242835,0.22876214405175,1.86484953623415,0.062202497578226,0.356916486933106
"CKF44_00035",98.9421308866311,-0.090759483673023,0.173601824921552,-0.522802589857772,0.601111637157231,0.895322384120483
"CKF44_00036",233.297633690454,0.009064763318569,0.18292805517388,0.049553707384868,0.960478037432333,0.992164206453463
"CKF44_00038",818.124249657905,-0.343073964376007,0.279878854095467,-1.22579451557631,0.220276011593685,0.641923039411114
"CKF44_00039",373.895300596724,0.020288243928509,0.178667015951405,0.113553382086079,0.909591843931651,0.983887783038985
"CKF44_00040",477.237916918448,0.204081954860647,0.234001539813884,0.872139367215134,0.383132352099952,0.784865564396586
"CKF44_00043",439.275464120423,-0.071020168040172,0.135158675828191,-0.525457708171475,0.599265045773994,0.895052627317126
"CKF44_00044",777.152469984297,0.001726833984682,0.105176518695773,0.016418436416186,0.986900571598334,0.996661066745089
"CKF44_00045",319.115404802115,-0.009763373199429,0.152867001204959,-0.063868415828598,0.949075001431668,0.989455557201556
"CKF44_00046",834.081394507754,-0.085424750877378,0.115065496324182,-0.7424010985596,0.457844354167542,0.829827902262806
"CKF44_00047",489.061285057531,0.078147383938902,0.321070898638725,0.24339603579842,0.807698614465661,0.958380386162958
"CKF44_00048",63.4743173084519,-0.171407566012931,0.185101109380453,-0.926021278784575,0.354434922059663,0.759581808811666
"CKF44_00049",88.3417362826454,-0.153510576322823,0.150166554104283,-1.02226875510653,0.306653717041926,0.723957451795154
"CKF44_00050",94.9421262925896,-0.056372338811246,0.192618165545296,-0.292663667788848,0.769779243383512,0.94971953698538
"CKF44_00051",803.41014215411,-0.037560417710642,0.143716774268763,-0.261350269665812,0.793822403612529,0.954046033199062
