"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CKF44_00001",0,"NA","NA","NA","NA","NA"
"CKF44_00002",130.887707215112,-0.289435946388413,0.573542931562677,-0.504645651546633,0.613807739749056,0.734765531160279
"CKF44_00003",119.98675128599,0.31386746830528,0.26858124398603,1.16861275808822,0.242559685678767,0.38126653245365
"CKF44_00004",294.502494394976,0.094564700797448,0.297670720575649,0.317682238328897,0.750725985562841,0.838918420206983
"CKF44_00005",95.4435573291376,-0.656879531610792,0.799773843169837,-0.821331601702932,0.411457411885334,0.557056222347202
"CKF44_00006",1321.52538402162,-0.853779862020129,0.319073465779318,-2.67580966011956,0.007454896986861,0.025981460309016
"CKF44_00007",571.492010210436,-1.19308076569148,0.226473157299779,-5.26808907473402,1.37851217431966E-07,2.30584463941152E-06
"CKF44_00008",499.048843029737,0.700707904530415,0.3184875441283,2.20011085974572,0.027799030577404,0.07361693565909
"CKF44_00009",170.093880791573,-0.496832497366254,0.350099830586272,-1.41911664605568,0.155865011675689,0.276052482315639
"CKF44_00010",375.956646797219,1.10863156945256,0.321916347096254,3.44384986799406,0.000573494057932,0.003085816900683
"CKF44_00011",935.216793957226,-0.222351329235567,0.431265627730193,-0.515578601535743,0.606148758825121,0.728999679552616
"CKF44_00012",426.747022818512,0.1177313170219,0.412833385817307,0.285178769611428,0.775507184712807,0.858107726775697
"CKF44_00013",333.24501729234,-0.272362292939641,0.382960728832733,-0.711201625737979,0.476959301296805,0.619159935255737
"CKF44_00014",102.4917299623,0.580099885517171,0.298467825905159,1.94359269297422,0.05194458768172,0.119229787767952
"CKF44_00015",98.4230100640691,1.12984552731939,0.566057910371504,1.99598929123324,0.04593508844151,0.108160655374857
"CKF44_00016",561.092370120951,-1.12161961268321,0.420732778274977,-2.66587171382724,0.007678898894257,0.02657489997138
"CKF44_00017",97.4660202396293,0.055566869395012,0.279216166813885,0.199010215021149,0.842254753988506,0.905163738750828
"CKF44_00018",427.874921694132,0.49904186389746,0.421443804482818,1.18412433304096,0.236363849178283,0.374818348811976
"CKF44_00019",683.345311572093,-0.747811664978129,0.407791536143333,-1.8338086956157,0.066682396500132,0.14471187582683
"CKF44_00020",606.499441085565,0.450000177678836,0.343023855270067,1.31186263219083,0.189566487682808,0.318628137670739
"CKF44_00021",179.711622506569,-0.608122148469683,0.337330738384451,-1.80274750940904,0.071427877161073,0.15243083184605
"CKF44_00022",420.112272911284,-0.994172325515467,0.3831208313411,-2.5949315312232,0.009460976400138,0.031262163004627
"CKF44_00023",213.989070398046,4.46470266379097,0.601750790078711,7.41952106653151,1.17544603596582E-13,7.67921113119179E-12
"CKF44_00024",2842.37579272136,0.35956203232125,0.417175917593051,0.861895467014943,0.388745043679898,0.535094300831503
"CKF44_00025",537.959421589364,0.405744233934752,0.498080359414058,0.814616007770453,0.415292144567386,0.560494660130413
"CKF44_00026",491.503492282078,-1.37499153302176,0.399627001407763,-3.4406872613164,0.000580238768632,0.003117264137143
"CKF44_00027",188.49698705703,0.020259488625821,0.236926836190179,0.085509471833572,0.931856365618935,0.960712421008058
"CKF44_00028",265.058494059693,0.797887620844636,0.236823609317932,3.36912195174547,0.000754080568038,0.003880218127201
"CKF44_00029",41.0815667035516,0.881907468331308,0.481659710771785,1.83097620292589,0.067104095084382,0.145399204774514
"CKF44_00030",29.3696130838798,-0.007522852020355,0.432920162171948,-0.01737699621707,0.986135860744691,0.994320156618664
"CKF44_00031",213.344869842974,0.522626978430183,0.221797993733729,2.35631968365595,0.018457026011976,0.053794151991974
"CKF44_00032",25.5770609640248,1.50744341559651,0.536973317561896,2.80729668736799,0.004995920532558,0.018700945777279
"CKF44_00033",1.87674888445994,1.85116098356962,1.24776895604976,1.48357672676046,0.137921247407864,0.251475681490115
"CKF44_00034",2946.61740638782,-2.03946646983001,0.510325854517336,-3.99640044057523,6.43129107341084E-05,0.000506098757766
"CKF44_00035",86.3306484851002,1.2263323180967,0.313224754440295,3.91518326924078,9.0335562814478E-05,0.000675565629039
"CKF44_00036",672.378275419411,-1.16042056668211,0.678581178827641,-1.71006889505384,0.087253133844549,0.177453142987813
"CKF44_00038",915.531280673384,-0.725823631985767,0.493299055927122,-1.47136635123218,0.141192068215803,0.255689087969256
"CKF44_00039",249.038028832033,1.5382058386086,0.439129719325053,3.50285068606342,0.000460307414846,0.002591568168948
"CKF44_00040",716.793871502758,-1.23078523588206,0.692973147882942,-1.77609369084813,0.075717475965903,0.159133086817566
"CKF44_00043",390.645382778129,-0.221884896786749,0.258985810755284,-0.856745379755217,0.391585617898629,0.537721674389849
"CKF44_00044",699.417644247601,-1.08096062049971,0.309720957313101,-3.49011132432654,0.000482819373686,0.002685561576525
"CKF44_00045",203.226589738014,1.2351771156934,0.302665187350419,4.08100160611911,4.48420451839019E-05,0.000371004973594
"CKF44_00046",1010.74337641191,-1.18927615135571,0.267374590507701,-4.44797745775866,8.66826240627241E-06,8.9061894901241E-05
"CKF44_00047",1077.98893945802,0.342513623332481,0.656539973437063,0.521695002879082,0.601882704521568,0.725128345304777
"CKF44_00048",47.5471334022532,1.66798348206668,0.47060995344951,3.54430132605692,0.000393655062118,0.002292734487107
"CKF44_00049",81.1318265706595,0.534959863613238,0.427782726401019,1.25054105880785,0.211101966372418,0.345088617782721
"CKF44_00050",106.123328586275,-0.271412397535875,0.415655373624225,-0.652974590871637,0.513772659497537,0.651029399271811
"CKF44_00051",645.434143477143,1.19339343386497,0.306936490774029,3.88807935757487,0.000101040593895,0.000745955344055
